table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,is_pk
DOCUMENT_SIG_DATA,Contains data about the signatures collected for an electronic signature document.,SIG_TIMESTAMP_DTTM,DATETIME,False,False,Stores the date and time that this signature was collected.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCUMENT_STAMPS,This table contains information about stamps added to scanned documents.,STAMP_ADDED_UTC_DTTM,DATETIME (UTC),False,False,The instant a stamp was added to the document.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DP_COMM_MEMO_NOTE,"This table contains the Free Text Note(HNO) IDs of communications sent to a service through the Continued Care and Services Coordination workflow, along with the patient CSN, patient ID, and contact date of the associated encounter. There is one line per communication sent.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DP_SVC_COORD_NOTE,"Coordination notes from the Services to Coordinate section of the current patient encounter--used to leave care coordination notes specific to this patient to a user, or to other users coordinating care for the patient.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ENC_DX_ASSOC_AMBIENT_DX,This table contains the unique IDs of diagnoses provided by Ambient that were finalized to Visit Diagnoses on the encounter.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
EPRESCRIBE_ERROR_ACTIONS,This table holds information about e-prescribing error resolution triggered before the May 23 version. E-prescribing error resolution on or after the upgrade to the May 23 version will be stored to ERX_EVENT table instead.,RESOLVED_UTC_DTTM,DATETIME (UTC),False,False,This item indicates when an e-prescribing error was resolved.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
FIN_ASST_NOTE,This table contains information about notes added to financial assistance tracker records.,ENTRY_DATE,DATETIME,False,False,The date on which this note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
FIN_ASST_NOTE,This table contains information about notes added to financial assistance tracker records.,ACCT_NOTE_INSTANT_DTTM,DATETIME (Local),False,False,The instant in which this note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
FLO_INST_COSIGNED,This table displays times that cosigners cosigned the flowsheet data.,INSTANT_COSIGNED_TM,DATETIME (Local),False,False,This item stores the instant that the co-signer co-signed the data.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_CONSULT_ORD_ID,This table contains the unique IDs of the consult orders that are attached to a note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_ECG_DX,This table contains the diagnosis for Electrocardiograms (ECG/EKG) that have been stored on General Use Notes (HNO) records.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",CREATE_INSTANT_DTTM,DATETIME (UTC),False,False,The note's create instant.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",DELETE_INSTANT_DTTM,DATETIME (UTC),False,False,The instant when the note is deleted.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",DATE_OF_SERVIC_DTTM,DATETIME (UTC),False,False,The note's date of service.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",LST_FILED_INST_DTTM,DATETIME (UTC),False,False,The instant the note was last edited.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",UPDATE_DATE,DATETIME (Local),False,False,The date and time when this row was created or last updated in Clarity.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",CRT_INST_LOCAL_DTTM,DATETIME (Local),False,False,"This is a virtual item that gets the create instant (I HNO 17105), in local time format.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",ACTIVE_FROM_DT,DATETIME,False,False,The date on which the note becomes active.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",ACTIVE_TO_DT,DATETIME,False,False,The date after which the note becomes inactive.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO,"This table contains common information from General Use Notes items. This table focuses on time-insensitive, once-per-record data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",COMMENT_EDIT_INST_DTTM,DATETIME (UTC),False,False,Instant the comment was last edited in either the Continued Care and Services Coordination or Payer Communication workflows. In UTC.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO_2,"This table contains common information from General Use Notes items. This table focuses on one time only data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",LETTER_FINAL_UTC_DTTM,DATETIME (UTC),False,False,The instant the letter was finalized. This column is only populated if this row is for a Customer Relationship Management letter.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_INFO_2,"This table contains common information from General Use Notes items. This table focuses on one time only data while other HNO tables (e.g., NOTES_ACCT, CODING_CLA_NOTES) contain the data for different note types.",NOTE_UPDATE_INST_UTC_DTTM,DATETIME (UTC),False,False,The last time this note was received through Care Everywhere. The value of Received Assessment and Plan Existence Days (I DXC 17000) defines how long notes with this item set exist before they are deleted. Scheduled task Remove HNO Records (E1J 88032) deletes notes and all of their references that have not been received within the amount of days defined by Received Assessment and Plan Existence Days (I DXC 17000) Received Assessment and Plan Existence Days (I DXC 17000) defaults to 30 days if not set.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_MYC_LET_INFO,This table contains MyChart related information for letters. It includes whether a letter is released to MyChart and the date/time it was released to MyChart.,LET_REL_MYC_DTTM,DATETIME (Local),False,False,Instant at which the letter was released to MyChart.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_PLACEHOLDER_CHARGE,Contains items related to Create Placeholder Charge action.,CHG_ACTION_UTC_DTTM,DATETIME (UTC),False,False,This item stores the instant when the action Create Placeholder Charge was submitted.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_SMARTFORM_LINK,This table contains a list of SmartBlocks and the SmartForms that are linked to those SmartBlocks in a particular note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HNO_SOURCE_LOG_ID,This table displays the surgical log where a note was edited.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_DETAILS,This table stores workflow-level information about documentation pieces that have been queued up and suspended during an outpatient visit.,WORKFLOW_INST_UTC_DTTM,DATETIME (UTC),False,False,"The date and time when this hologram's status was set, in UTC.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,IMMNZTN_DATE,DATETIME,False,False,The date this immunization was administered.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,IMMNZTN_INSTANT_UTC_DTTM,DATETIME (UTC),False,False,The date and time that this immunization was administered.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,IMMNZTN_NEXT_DUE_DATE,DATETIME,False,False,Date of the next time this immunization is due.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,IMMNZTN_EXPIRATION_DATE,DATETIME,False,False,Expiration date for this immunization.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,IMMNZTN_VIS_DATE,VARCHAR,False,False,"The issue date of the Vaccine Information Statement provided to the patient for the immunization in this hologram selection. This value is a freetext string, not a discrete date.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,LOS_COMPONENT_COUNSEL_TIME,INTEGER,False,False,Level of service component counseling time.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,NT_DISP_INSTANT_UTC_DTTM,DATETIME (UTC),False,False,The disposition instant stored in UTC format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
HOLOGRAM_SELECTIONS,This table stores details about each selection made in a hologram record. Which specific details are stored depends on the type of each row.,REASON_FOR_VISIT_ONSET_DATE,DATETIME,False,False,Contains onset date for a reason for visit that is being temporarily stored in a hologram record.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
INCOMPLETE_NOTE_EPT,"Table created for the visit narrative data stored in the patient masterfile. No longer used since we use UCN now since 2010, exporting these items as a formality.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
INCOMPLETE_NOTE_EPT,"Table created for the visit narrative data stored in the patient masterfile. No longer used since we use UCN now since 2010, exporting these items as a formality.",INC_NOTE_START_DATE_UTC_DTTM,DATETIME (UTC),False,False,"The start date for an incomplete note, not used since 2010 and only exported as a formality.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
INCOMPLETE_NOTE_EPT,"Table created for the visit narrative data stored in the patient masterfile. No longer used since we use UCN now since 2010, exporting these items as a formality.",INC_NOTE_LAST_EDIT_UTC_DTTM,DATETIME (UTC),False,False,"The end date for an incomplete note, not used since 2010 and only exported as a formality.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
INTERV_NOTE_INFO,This table links a care plan goal note contact to the related intervention note contacts that were filed at the same time.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
LAB_COSIGN_INFO,The LAB_COSIGN_INFO table contains cosign information for lab results.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
MAR_COSIGN_INST,List of instants at which this med administration was cosigned.,MAR_COSIGN_INSTANT,NUMERIC,False,False,Instant when the cosign took place,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
MED_DISCONTINUE_NOTE,This table extracts the multiline discontinue note associated with a medication within a document received.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_ACCT,This table contains summary information for billing system account notepad notes attached to accounts.,NOTE_ENTRY_DTTM,DATETIME (Local),False,False,The date and time the account note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_HISTORY_LOG,"This table contains the Edit History Information for all Notes (HNO records). Shows information about the type of edit, when the note was edited, and the user who made the edit.",CONTACT_DATE,DATETIME,False,False,The date (calendar format) on which the encounter took place.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_HISTORY_LOG,"This table contains the Edit History Information for all Notes (HNO records). Shows information about the type of edit, when the note was edited, and the user who made the edit.",EDIT_HX_INSTANT,DATETIME (Local),False,False,The instant at which the History Edit Action was performed.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_HISTORY_LOG,"This table contains the Edit History Information for all Notes (HNO records). Shows information about the type of edit, when the note was edited, and the user who made the edit.",EDIT_HX_EXP_DATE,DATETIME,False,False,This item stores the FYI expiration date at the time that this record was modified.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_MC_NMM,This table contains the information about notes (HNO) records attached to case (NMM) records.,NOTE_DATE,DATETIME,False,False,The date when the note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_MC_NMM,This table contains the information about notes (HNO) records attached to case (NMM) records.,NOTE_TIME,DATETIME (Local),False,False,The time the note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_TRANS_AUTH,This table contains transcription authorization info.,AUTH_DTTM,DATETIME (Local),False,False,Date and time the transcription was authenticated,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_TRANS_AUTH,This table contains transcription authorization info.,DICTATION_TIME,DATETIME (Local),False,False,This is the dictation date and time in datetime format. Please note that this only contains information for authorized transcriptions.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_TRANS_AUTH,This table contains transcription authorization info.,TRANSCRIPTION_TIME,DATETIME (Local),False,False,This is the transcription date and time in datetime format. Please note that this only contains information for authorized transcriptions.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_TRANS_AUTH,This table contains transcription authorization info.,ACTIVITY_DTTM,DATETIME (Local),False,False,This is the activity date and time in datetime format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_TRANS_AUTH,This table contains transcription authorization info.,EDIT_DTTM,DATETIME (Local),False,False,This is the transcription edit date and time in datetime format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTES_TRANS_AUTH,This table contains transcription authorization info.,CHR_CNT_DTTM,DATETIME (Local),False,False,The date and time in which the transcription character count was recorded.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_BLOCKING,This table stores the reasons for blocking the sharing of a note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_CONTENT_INFO,This table contains discrete information pertaining to the type of content contained within the note text of a clinical note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_COPY_TRACKING,Track the source note information that this note was copied from.,NOTE_COPY_INST_DTTM,DATETIME (UTC),False,False,The instant (UTC) when this note was copied.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_COPY_TRACKING,Track the source note information that this note was copied from.,NOTE_COPY_LOC_DTTM,DATETIME (Local),False,False,The instant when this note was copied.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EDIT_TRAIL,This table displays edit trail information for notes (HNO).,IP_ACTION_DTTM,DATETIME (Local),False,False,Instant associated with a particular action taken on a note in local format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_EDIT_TRAIL,This table displays edit trail information for notes (HNO).,ACT_TAKEN_INST_DTTM,DATETIME (UTC),False,False,UTC formatted instant associated with a particular action taken on a note.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",COSIGN_INSTANT_DTTM,DATETIME (UTC),False,False,The instant when the note was cosigned.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",ENTRY_INSTANT_DTTM,DATETIME (UTC),False,False,UTC formatted instant of entry for a note.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",UPD_AUTHOR_INS_DTTM,DATETIME (UTC),False,False,UTC instant of update by a specific user.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",SPEC_NOTE_TIME_DTTM,DATETIME (UTC),False,False,The note's specified date paired with the specified time.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",NOTE_FILE_TIME_DTTM,DATETIME (UTC),False,False,UTC formatted instant of when a note is filed.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",UPD_BY_AUTH_DTTM,DATETIME (Local),False,False,The instant when the note is updated by the author.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",ACTIVITY_DTTM,DATETIME (Local),False,False,The activity date and time of the partial dictation/transcription.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",UPD_AUT_LOCAL_DTTM,DATETIME (Local),False,False,Update by author instant in local format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",ENT_INST_LOCAL_DTTM,DATETIME (Local),False,False,Note entry instant in local format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",SPEC_TIME_LOC_DTTM,DATETIME (Local),False,False,Note specified instant in local format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",NOT_FILETM_LOC_DTTM,DATETIME (Local),False,False,Note file time in local format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
NOTE_ENC_INFO,"This table contains information from overtime single-response items about General Use Notes (HNO) records. Contact creation logic for clinical notes is as follows: 1. If a note doesn't exist, a new note is created. This represents the first contact on that note. 2. If a revision is filed by the incoming transcription interface, a new contact is created on the note being revised regardless of note status.",TRANSCRIPTION_DTTM,DATETIME (Local),False,False,The transcription date and time.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
