table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,already_in_cm04_card
ACCT_HB_BNOTE,This table contains Hospital Billing billing notes for guarantor accounts.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCT_HB_BNOTE,This table contains Hospital Billing billing notes for guarantor accounts.,HB_BILLING_NOTE,VARCHAR,False,False,This column contains one line of the Hospital Billing billing note of the guarantor account for this row.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCT_PB_BILL_NOTE,This table stores billing note on the account.,ACCT_ID,NUMERIC,False,False,The unique identifier for the guarantor record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCT_PB_BILL_NOTE,This table stores billing note on the account.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCT_PB_BILL_NOTE,This table stores billing note on the account.,BILLING_NOTE,VARCHAR,False,False,Billing note on the account.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ADDENDUM_VERSIONS,The ADDENDUM_VERSIONS table contains information about imaging result text addenda. The rows in this table can be used to link the version of the addendum text with other order information at the time that addendum text was documented.,ORDER_ID,NUMERIC,False,False,The unique identifier for the order record.,addendum,False,False
ADDENDUM_VERSIONS,The ADDENDUM_VERSIONS table contains information about imaging result text addenda. The rows in this table can be used to link the version of the addendum text with other order information at the time that addendum text was documented.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.",addendum,False,False
ADDENDUM_VERSIONS,The ADDENDUM_VERSIONS table contains information about imaging result text addenda. The rows in this table can be used to link the version of the addendum text with other order information at the time that addendum text was documented.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,addendum,False,False
ADDENDUM_VERSIONS,The ADDENDUM_VERSIONS table contains information about imaging result text addenda. The rows in this table can be used to link the version of the addendum text with other order information at the time that addendum text was documented.,ADDENDUM_CONTACT,NUMERIC,False,False,The unique ID of the note contact that stores the addendum text which corresponds to this version of the order's result text.,addendum,False,False
AUTH_REQUEST_HX_UNS_NOTE,This table contains the snapshot of unsigned notes associated with the authorization request.,AUTH_REQUEST_ID,NUMERIC,False,False,The unique identifier (.1 item) for the authorization request record.,other note/document-adjacent,False,False
AUTH_REQUEST_HX_UNS_NOTE,This table contains the snapshot of unsigned notes associated with the authorization request.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.",other note/document-adjacent,False,False
AUTH_REQUEST_HX_UNS_NOTE,This table contains the snapshot of unsigned notes associated with the authorization request.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,other note/document-adjacent,False,False
AUTH_REQUEST_HX_UNS_NOTE,This table contains the snapshot of unsigned notes associated with the authorization request.,UNSIGNED_NOTE_ID,VARCHAR,False,False,This item stores the unsigned notes associated with the authorization request.,other note/document-adjacent,False,False
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,NOTE_CSN_ID,NUMERIC,False,False,The contact serial number (CSN) of the contact.,other note/document-adjacent,False,False
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,other note/document-adjacent,False,False
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,NOTE_ID,VARCHAR,False,False,The unique identifier (.1 item) for the note record.,other note/document-adjacent,False,False
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,other note/document-adjacent,True,False
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,BLOCK_CPY_NOTE_ID,VARCHAR,False,False,Contains the list of note copies shown to the last user who blocked this note.,other note/document-adjacent,False,False
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,BLOCK_CPY_YN,VARCHAR,False,False,Column in a related group that indicates if the note copy shown to the user during patient blocking should also be blocked.,other note/document-adjacent,False,False
CAREPLAN_PROG_NOTE,This table contains information about the list of progress notes filed from Care Plans activity for each Care Plan record.,CARE_INTG_ID,VARCHAR,False,False,The unique identifier for the careplan record.,other note/document-adjacent,False,False
CAREPLAN_PROG_NOTE,This table contains information about the list of progress notes filed from Care Plans activity for each Care Plan record.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,other note/document-adjacent,False,False
CAREPLAN_PROG_NOTE,This table contains information about the list of progress notes filed from Care Plans activity for each Care Plan record.,CP_PROG_NOTES_ID,VARCHAR,False,False,The unique ID of the Progress Note (HNO) that was filed from the Care Plans activity.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",NOTE_ID,VARCHAR,False,False,The unique identifier for the note record.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",TEXT_NOTE_CSN_ID,NUMERIC,False,False,This holds the note contact serial number (CSN) pointer to the record where the child note's text can be found. Any workflow that links a child note to a clinical note must populate this item with the pointer to the child note contact.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_TYPE_C_NAME,VARCHAR,False,False,This holds the type of linked note. Any workflow that links a child note to a clinical note must populate this item with the type of child note that is being linked. Different link types will have different effects on how the parent clinical note displays or behaves.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_USER_ID,VARCHAR,False,False,Contains the user ID of the user who added the corresponding child note. Any workflow that links a child note to a clinical note must specify the user adding the link in this item.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_USER_ID_NAME,VARCHAR,False,False,The name of the user record. This name may be hidden.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_UTC,DATETIME (UTC),False,False,"Holds the instant, in UTC format, that the child note was added to the note. Any workflow that links a child note to a clinical note must populate this item with the UTC timestamp of when the link was added.",other note/document-adjacent,True,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",SOURCE_NOTE_CSN_ID,NUMERIC,False,False,Contains the note contact serial number (CSN) of the source contact the child note was originally added to. Any workflow that links a child note to a clinical note must specify which contact on the parent clinical note the child note applies to.,other note/document-adjacent,False,False
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_DTTM,DATETIME (Local),False,False,"Holds the instant, in local time zone format, that the child note was added to the note. This item is automatically calculated based on the Child Note - Instant (UTC) item (I HNO 34253).",other note/document-adjacent,True,False
CLM_NOTE,All values associated with a claim are stored in the Claim External Value record. The CLM_NOTE table holds claim level notes or remarks.,RECORD_ID,NUMERIC,False,False,The unique identifier for the Claim Info record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CLM_NOTE,All values associated with a claim are stored in the Claim External Value record. The CLM_NOTE table holds claim level notes or remarks.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CLM_NOTE,All values associated with a claim are stored in the Claim External Value record. The CLM_NOTE table holds claim level notes or remarks.,CLM_NOTE,VARCHAR,False,False,This item holds claim level notes.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,EDUCATION_RECORD_ID,NUMERIC,False,False,The unique identifier (.1 item) for the education record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,GROUP_LINE,INTEGER,False,False,"The line number of the associated point in the patient's education record. Together with EDUCATION_RECORD_ID and CONTACT_DATE_REAL, this forms the foreign key to the CL_PATEDU_CNTCT_PT table.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,VALUE_LINE,INTEGER,False,False,The line number of one of the Clinical References associated with a point in the patient's education record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,CONTACT_POINT_DCS_ID,VARCHAR,False,False,The unique ID of the Document Information record for a Clinical Reference document that is associated with the education point in CL_PATEDU_CNTCT_PT with a LINE number that matches this row's GROUP_LINE number. This column is frequently used to link to Document Information tables like DOC_INFORMATION and DOC_INFORMATION_2.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,EDUCATION_RECORD_ID,NUMERIC,False,False,The unique identifier (.1 item) for the education record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,GROUP_LINE,INTEGER,False,False,"The line number of the associated title in the patient's education record. Together with EDUCATION_RECORD_ID and CONTACT_DATE_REAL, this forms the foreign key to the CL_PATEDU_CNT_TITL table.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,VALUE_LINE,INTEGER,False,False,The line number of one of the Clinical References associated with a title in the patient's education record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,CONTACT_TITLE_DCS_ID,VARCHAR,False,False,The unique ID of the Document Information record for a Clinical Reference document that is associated with the education title in CL_PATEDU_CNT_TITL with a LINE number that matches this row's GROUP_LINE number. This column is frequently used to link to Document Information tables like DOC_INFORMATION and DOC_INFORMATION_2.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,EDUCATION_RECORD_ID,NUMERIC,False,False,The unique identifier (.1 item) for the education record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,GROUP_LINE,INTEGER,False,False,"The line number of the associated topic in the patient's education record. Together with EDUCATION_RECORD_ID and CONTACT_DATE_REAL, this forms the foreign key to the CL_PATEDU_CT_TOPIC table.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,VALUE_LINE,INTEGER,False,False,The line number of one of the Clinical References associated with a topic in the patient's education record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,CONTACT_TOPIC_DCS_ID,VARCHAR,False,False,The unique ID of the Document Information record for a Clinical Reference document that is associated with the education topic in CL_PATEDU_CT_TOPIC with a LINE number that matches this row's GROUP_LINE number. This column is frequently used to link to Document Information tables like DOC_INFORMATION and DOC_INFORMATION_2.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,COVERAGE_ID,NUMERIC,False,False,The unique identifier for the coverage record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_ID,VARCHAR,False,False,The unique identifier of the note associated with the coverage.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_DATE,DATETIME,False,False,The date the note was created.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_DTTM,DATETIME (Local),False,False,The date and time the note was created.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_USER_ID,VARCHAR,False,False,The user who created the note.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_USER_ID_NAME,VARCHAR,False,False,The name of the user record. This name may be hidden.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,NOTE_CSN_ID,NUMERIC,False,False,The contact serial number (CSN) of the contact.,other note/document-adjacent,False,False
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,other note/document-adjacent,False,False
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,NOTE_ID,VARCHAR,False,False,The unique identifier for the note record.,other note/document-adjacent,False,False
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.",other note/document-adjacent,False,False
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,other note/document-adjacent,True,False
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,CARE_PLAN_HX_CSN_ID,NUMERIC,False,False,Stores the history of care plan contact links associated with the goal or intervention documentation.,other note/document-adjacent,False,False
DOCS_RCVD_ASMT_PLAN_NOTE,This table extracts the related multiple response item DXR-11048.,DOCUMENT_ID,NUMERIC,False,False,The unique identifier (.1 item) for the document record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
DOCS_RCVD_ASMT_PLAN_NOTE,This table extracts the related multiple response item DXR-11048.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
DOCS_RCVD_ASMT_PLAN_NOTE,This table extracts the related multiple response item DXR-11048.,GROUP_LINE,INTEGER,False,False,The line number for the information associated with this contact.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
DOCS_RCVD_ASMT_PLAN_NOTE,This table extracts the related multiple response item DXR-11048.,VALUE_LINE,INTEGER,False,False,The line number of one of the multiple values associated with a specific group of data within this contact.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
