em_est_level5_count,E/M Established Patient Level 5 count (CPT 99215),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_total_count,Total E/M visits (count),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
avg_total_time_min,Avg total provider time per encounter (min),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
business_hours_min,Business-hours EHR time per provider per month (min),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
inbox_time_hrs,Total inbox time per provider per month (hrs),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
amendment_count,Amended or addendum note count,CM-08,Note Completeness (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
total_signed_notes,Total signed notes (count),CM-13,Adoption / Utilization (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
wrvu_total,Total work RVUs by provider by service month,CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
revenue_paid,Total paid revenue by provider by service month ($),CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
icd10_codes_per_enc,Avg ICD-10 diagnosis codes per encounter,CM-21,Coding Accuracy (ICD-10),,,,,,,,,,,,,,,,,,,,,,,,
ma_patient_count,Medicare Advantage patient count by provider by month,,,,,,,,,,,,,,,,,,,,,,,,,,
denial_l45_count,Denied Level 4-5 claim count,CM-21,Coding Accuracy (claim denials),,,,,,,,,,,,,,,,,,,,,,,,
total_l45_submitted,Total Level 4-5 claims submitted (count),CM-21,Coding Accuracy (claim denials),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerner,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_doc_time_min,Avg documentation time per encounter (min),CM-04,Documentation Time,,,,,,,,,,,,,,,,,,,,,,,,
same_day_count,Notes signed same calendar day as encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
next_day_count,Notes signed 1-2 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
two_three_day_count,Notes signed 3-5 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
six_plus_day_count,Notes signed 6+ days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
total_encounters,Total closed encounters (count),CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
after_hours_min,After-hours EHR time per provider per month (min),CM-05,After-Hours Documentation,,,,,,,,,,,,,,,,,,,,,,,,
em_level1_count,E/M Level 1 count (CPT 99201 / 99211),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level2_count,E/M Level 2 count (CPT 99202 / 99212),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level3_count,E/M Level 3 count (CPT 99203 / 99213),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level4_count,E/M Level 4 count (CPT 99204 / 99214),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level5_count,E/M Level 5 count (CPT 99205 / 99215),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_total_count,Total E/M visits (count),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
encounters_per_day,Avg completed encounters per working day,CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
amendment_count,Amended or addendum note count,CM-08,Note Completeness (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
total_signed_notes,Total signed notes (count),CM-13,Adoption / Utilization (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
wrvu_total,Total work RVUs by provider by service month,CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
revenue_paid,Total paid revenue by provider by service month ($),CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
icd10_codes_per_enc,Avg ICD-10 diagnosis codes per encounter,CM-21,Coding Accuracy (ICD-10),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meditech,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_doc_time_min,Avg documentation time per encounter (min),CM-04,Documentation Time,,,,,,,,,,,,,,,,,,,,,,,,
same_day_count,Notes signed same calendar day as encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
next_day_count,Notes signed 1-2 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
two_three_day_count,Notes signed 3-5 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
six_plus_day_count,Notes signed 6+ days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
total_encounters,Total closed encounters (count),CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
after_hours_min,After-hours EHR time per provider per month (min),CM-05,After-Hours Documentation,,,,,,,,,,,,,,,,,,,,,,,,
em_level1_count,E/M Level 1 count (CPT 99201 / 99211),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level2_count,E/M Level 2 count (CPT 99202 / 99212),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level3_count,E/M Level 3 count (CPT 99203 / 99213),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level4_count,E/M Level 4 count (CPT 99204 / 99214),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_level5_count,E/M Level 5 count (CPT 99205 / 99215),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_total_count,Total E/M visits (count),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
encounters_per_day,Avg completed encounters per working day,CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
amendment_count,Amended or addendum note count,CM-08,Note Completeness (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
total_signed_notes,Total signed notes (count),CM-13,Adoption / Utilization (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
wrvu_total,Total work RVUs by provider by service month,CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
revenue_paid,Total paid revenue by provider by service month ($),CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
icd10_codes_per_enc,Avg ICD-10 diagnosis codes per encounter,CM-21,Coding Accuracy (ICD-10),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athena,,,,,,,,,,,,,,,,,,,,,,,,,,,
avg_doc_time_min,Avg documentation time per encounter (min),CM-04,Documentation Time,,,,,,,,,,,,,,,,,,,,,,,,
total_time_rendering_provider,Total time rendering provider (min),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
total_closed_encounter_count,Total closed encounters (count),CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
same_day_numerator,Notes signed same calendar day as encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
next_day_numerator,Notes signed next calendar day (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
two_three_day_numerator,Notes signed 2-3 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
four_five_day_numerator,Notes signed 4-5 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
six_plus_day_numerator,Notes signed 6+ days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
after_hours_numerator,Total after-hours EHR time (min),CM-05,After-Hours Documentation,,,,,,,,,,,,,,,,,,,,,,,,
after_hours_encounter_time,After-hours encounter time (min),CM-05,After-Hours Documentation,,,,,,,,,,,,,,,,,,,,,,,,
after_hours_inbox_time,After-hours inbox time (min),CM-05,After-Hours Documentation,,,,,,,,,,,,,,,,,,,,,,,,
business_hours_numerator,Business-hours EHR time (min),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
business_hours_inbox_time,Business-hours inbox time (min),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
total_inbox_time_hours,Total inbox time (hrs),CM-07,Total EHR Time,,,,,,,,,,,,,,,,,,,,,,,,
amended_encounters,Amended encounter count,CM-08,Note Completeness (indirect proxy),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level1_count,E/M New Patient Level 1 count (CPT 99201),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level2_count,E/M New Patient Level 2 count (CPT 99202),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level3_count,E/M New Patient Level 3 count (CPT 99203),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level4_count,E/M New Patient Level 4 count (CPT 99204),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level5_count,E/M New Patient Level 5 count (CPT 99205),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level1_count,E/M Established Patient Level 1 count (CPT 99211),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level2_count,E/M Established Patient Level 2 count (CPT 99212),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level3_count,E/M Established Patient Level 3 count (CPT 99213),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level4_count,E/M Established Patient Level 4 count (CPT 99214),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level5_count,E/M Established Patient Level 5 count (CPT 99215),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_total_count,Total E/M visits (count),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
wrvu_total,Total work RVUs by provider by service month,CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
revenue_paid,Total paid revenue by provider by service month ($),CM-20,Financial Productivity,,,,,,,,,,,,,,,,,,,,,,,,
icd10_codes_per_enc,Avg ICD-10 diagnosis codes per encounter,CM-21,Coding Accuracy (ICD-10),,,,,,,,,,,,,,,,,,,,,,,,
ma_patient_count,Medicare Advantage patient count by provider by month,,,,,,,,,,,,,,,,,,,,,,,,,,
denial_l45_count,Denied Level 4-5 claim count,CM-21,Coding Accuracy (claim denials),,,,,,,,,,,,,,,,,,,,,,,,
total_l45_submitted,Total Level 4-5 claims submitted (count),CM-21,Coding Accuracy (claim denials),,,,,,,,,,,,,,,,,,,,,,,,
