Metrics of Interest to Suki,,,,
Suki (Native Platform — Primary Mappings Only; Developer-Documented API Fields),,,,
Suki Field / API Path,What it measures,CM ID,Canonical Measure,Hook
personalization.verbosity (configured),Verbosity setting present (proxy for engaged sustained adoption vs. default-only use),CM-13,Adoption / Utilization,H5 - Note Personalization
feedback.quantitative.rating,Provider satisfaction star rating of note output,CM-15,Provider Satisfaction,H1 - Ambient Documentation
feedback.comments,Open-text provider feedback on note quality (max 2000 chars),CM-15,Provider Satisfaction,H1 - Ambient Documentation
session_context.provider.specialty,Specialty enum — satisfaction stratification by clinical specialty,CM-15,Provider Satisfaction,H2 - Specialty-Specific Note Generation
personalization.verbosity,Verbosity setting — influence on satisfaction (CONCISE preference vs. note length),CM-15,Provider Satisfaction,H5 - Note Personalization
personalization.section_format[].style,Format preference — NARRATIVE vs. BULLETED satisfaction by section type,CM-15,Provider Satisfaction,H5 - Note Personalization
ambient_session.content[].source_transcripts[] (count per section),Evidence link count per note section — verifiability score enabling provider trust,CM-16,Provider Trust,H15 - Evidence Linking
ambient_session.transcript[].transcript_id,Transcript ULID referenced in source_transcripts — verifiable trace from note to audio,CM-16,Provider Trust,H15 - Evidence Linking
personalization.verbosity,Output predictability through consistent verbosity setting — trust via reliability,CM-16,Provider Trust,H5 - Note Personalization
ambient_session.transcript[].lang_id,Language code per transcript segment — non-English = multilingual patient encounter flag,CM-17,Patient Experience,H4 - Multilingual Support
transcription.audio_config.audio_language,Configured session language (BCP-47 code) — input for multilingual patient experience study design,CM-17,Patient Experience,H4 - Multilingual Support
ambient_session.transcript[].start_time,Session start timestamp — face-to-face interaction interval start anchor,CM-18,Physician-Patient Interaction,H1 - Ambient Documentation
ambient_session.transcript[].end_time,Session end timestamp — interaction interval end anchor,CM-18,Physician-Patient Interaction,H1 - Ambient Documentation
ambient_session.transcript[].lang_id,Language code — multilingual encounter flag for interaction quality stratification,CM-18,Physician-Patient Interaction,H4 - Multilingual Support
NoteContent.diagnosis.hccCode,HCC risk-adjustment code captured from AI suggestion — revenue cycle completeness,CM-20,Financial Productivity,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.billable,Billable boolean on AI-suggested diagnosis — coding productivity indicator,CM-20,Financial Productivity,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.panelRanking,Diagnosis panel ranking number — prioritization of high-value codes,CM-20,Financial Productivity,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.suggestionType,Suggestion type enum (DEFAULT / ED / PL) — coding source for revenue stratification,CM-20,Financial Productivity,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
structured_data.diagnoses[].codes[].code,ICD-10 / IMO code value — primary coding accuracy evaluation target,CM-21,Coding Accuracy,H3 - Problem-Based Charting (PBC)
structured_data.diagnoses[].codes[].description,ICD-10 code description — text validation of code accuracy,CM-21,Coding Accuracy,H3 - Problem-Based Charting (PBC)
structured_data.diagnoses[].codes[].type,Code type enum (ICD10 / IMO) — coding system accuracy stratification,CM-21,Coding Accuracy,H3 - Problem-Based Charting (PBC)
NoteContent.diagnosis.icdCode,ICD-10 code from note content object — certified coder comparison target,CM-21,Coding Accuracy,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.icdDescription,ICD-10 code description — description accuracy validation,CM-21,Coding Accuracy,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.snomedCode,SNOMED CT code from note content — terminology system accuracy,CM-21,Coding Accuracy,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.hccCode,HCC code — risk adjustment coding accuracy,CM-21,Coding Accuracy,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.billable,Billable boolean — appropriate billing flag accuracy,CM-21,Coding Accuracy,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
NoteContent.diagnosis.suggestionType,Suggestion type (DEFAULT / ED / PL) — source-stratified coding accuracy,CM-21,Coding Accuracy,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
webhook.error_code,Error type string on session failure (e.g. ERROR_CODE_TRANSCRIPTION) — implementation barrier classification,CM-23,Implementation Barriers,H1 - Ambient Documentation
webhook.error_detail,Error detail string — root-cause barrier description,CM-23,Implementation Barriers,H1 - Ambient Documentation
ambient_session.status = aborted (count / rate),Provider-cancelled sessions — active adoption friction indicator,CM-23,Implementation Barriers,H1 - Ambient Documentation
ambient_session.status = failed (count / rate),System-failed sessions — technical implementation barrier rate,CM-23,Implementation Barriers,H1 - Ambient Documentation
ambient_session.status = skipped (count / rate),Skipped sessions — passive non-adoption rate,CM-23,Implementation Barriers,H1 - Ambient Documentation
transcription.audio_config.audio_language,Language configuration field — multilingual implementation barrier point,CM-23,Implementation Barriers,H4 - Multilingual Support
ambient_session.transcript[].transcript,Transcribed hypothesis text — input for WER computation against ground-truth transcript,CM-24,Transcription Accuracy,H1 - Ambient Documentation
ambient_session.transcript[].lang_id,Language ID per segment — language-specific WER stratification,CM-24,Transcription Accuracy,H4 - Multilingual Support
transcription.audio_config.audio_encoding,Audio encoding format (LINEAR16) — ASR accuracy parameter,CM-24,Transcription Accuracy,H6 - Audio Dictation
transcription.audio_config.sample_rate_hertz,Sample rate in Hz (16000) — audio quality parameter for WER analysis,CM-24,Transcription Accuracy,H6 - Audio Dictation
transcription.audio_config.audio_language,Configured language (BCP-47) — language-specific transcription accuracy baseline,CM-24,Transcription Accuracy,H6 - Audio Dictation
ambient_session.recording[].presigned_url,Pre-signed URL for raw audio download — enables benchmark-quality WER study design,CM-25,Evaluation Methodology,H7 - Audio Streaming & Download
ambient_session.recording[].recording_id,Recording ULID — unique identifier for institutional research corpus management,CM-25,Evaluation Methodology,H7 - Audio Streaming & Download
ambient_session.recording[].expires_at,Unix timestamp of 30-day download window expiry — data collection timeline constraint,CM-25,Evaluation Methodology,H7 - Audio Streaming & Download
ambient_session.recording[].sequence_number,Audio segment sequence integer — ordering for multi-part session reconstruction,CM-25,Evaluation Methodology,H7 - Audio Streaming & Download
ambient_session.recording[].is_streamable,Boolean — whether recording supports streaming vs. download-only access,CM-25,Evaluation Methodology,H7 - Audio Streaming & Download
